cbsa_code,cbsa_title,cbsa_short,tot_units,tot_pop,units_pcap,h_1990,h_2000,h_2010,h_2020,h_change
10180,"Abilene, TX",Abilene,18060,6336879,0.00284998340665807,0.406434476937818,0.3853031980357577,0.3545502173672337,0.32848034038949925,-0.07795413654831873
10420,"Akron, OH",Akron,88690,27369427,0.00324047704761959,0.5986906653722032,0.5527310455376342,0.4816756155079326,0.42414970467203966,-0.1745409607001635
10580,"Albany-Schenectady-Troy, NY",Albany,112900,33368415,0.00338343909951971,0.46487707135917394,0.4714451569987075,0.4581421612964552,0.43485923292611123,-0.03001783843306271
10740,"Albuquerque, NM",Albuquerque,159026,29218316,0.00544268191226352,0.30552332441791963,0.2902279309602675,0.26281782876656934,0.28046996489882364,-0.02505335951909598
10900,"Allentown-Bethlehem-Easton, PA-NJ",Allentown,111296,29805022,0.00373413581107237,0.39624269094063685,0.3985838924036089,0.3812855734773599,0.3642313678756135,-0.03201132306502335
11100,"Amarillo, TX",Amarillo,34749,9084622,0.00382503531792517,0.571588537377879,0.5278894567975378,0.4813091660962012,0.4421419603101024,-0.12944657706777657
11460,"Ann Arbor, MI",Ann Arbor,53594,12629029,0.00424371501561996,0.3675111056424117,0.3708153907223016,0.3774581789650941,0.34677969506492373,-0.02073141057748795
11700,"Asheville, NC",Asheville,102419,14713402,0.00696093262455549,0.605546905025678,0.5246955699525893,0.41782393262412665,0.3477192244175892,-0.2578276806080888
12020,"Athens-Clarke County, GA",Athens,46874,6546776,0.00715986005936357,0.4998288532364892,0.4544764442405744,0.42255173248221545,0.385637587169338,-0.1141912660671512
12060,"Atlanta-Sandy Springs-Roswell, GA",Atlanta,1647258,166825199,0.00987415576228385,0.631914347095607,0.5618860942050742,0.5045640968471988,0.4739725050444704,-0.1579418420511366
12100,"Atlantic City-Hammonton, NJ",Atlantic City,58672,9799786,0.00598706951355876,0.6399435177781587,0.5996361280851729,0.5468679920944682,0.5063029513194834,-0.13364056645867528
12260,"Augusta-Richmond County, GA-SC",Augusta,119136,20152226,0.00591180349009583,0.5211043168014853,0.46559417968974537,0.44258514985159414,0.38909845863062587,-0.1320058581708594
12420,"Austin-Round Rock, TX",Austin,621427,51703943,0.01201894795528457,0.4722379582767087,0.4296306270051508,0.3683317827703785,0.2891701460342245,-0.18306781224248425
12540,"Bakersfield, CA",Bakersfield,142715,26962484,0.00529309539877705,0.4918913312893228,0.4190431771374904,0.4073607193615755,0.3881174533033664,-0.1037738779859564
12580,"Baltimore-Columbia-Towson, MD",Baltimore,437936,101485867,0.00431524125423296,0.6610406888016668,0.5948870178582762,0.5581312445627314,0.502364550147501,-0.15867613865416574
12940,"Baton Rouge, LA",Baton Rouge,150055,28582023,0.00524997828180321,0.6446890767053302,0.6189959323274258,0.5759260379005949,0.504409121714679,-0.14027995499065116
12980,"Battle Creek, MI",Battle Creek,10741,5470664,0.00196338141037358,0.5416947730868565,0.4905100369064984,0.4386561493455823,0.405732470937934,-0.13596230214892252
13140,"Beaumont-Port Arthur, TX",Beaumont,49427,15843933,0.00311961682746323,0.7012150218797999,0.665390327195538,0.6376045256190579,0.6034478554075852,-0.09776716647221471
13780,"Binghamton, NY",Binghamton,16574,10223004,0.00162124557517535,0.29504491642456976,0.33032595514587354,0.3214924569107354,0.3306169758485657,0.03557205942399594
13820,"Birmingham-Hoover, AL",Birmingham,172358,41717449,0.00413155655802443,0.7456970683855935,0.6947138933913192,0.631614468162475,0.5666495747320953,-0.17904749365349815
13980,"Blacksburg-Christiansburg-Radford, VA",Blacksburg,30353,6564776,0.00462361548969835,0.32901688151476677,0.2702591463734885,0.2689433997483898,0.24543167592665072,-0.08358520558811605
14010,"Bloomington, IL",Bloomington,34135,6618158,0.00515777955134948,0.2955084631237212,0.28684069111219884,0.305439920966852,0.30641198042056483,0.01090351729684363
14020,"Bloomington, IN",Bloomington,27718,5684652,0.00487593611710971,0.22763529696322984,0.23356864479630465,0.2272984761602249,0.22815998059344705,5.246836302172098e-4
14260,"Boise City, ID",Boise City,191031,19011062,0.01004841286615129,0.32206573866756744,0.27123753840996445,0.31509474300524215,0.30461526801471356,-0.01745047065285387
14460,"Boston-Cambridge-Newton, MA-NH",Boston,512696,174630248,0.00293589458797538,0.5869016704070054,0.5609883038641759,0.5221339650098449,0.47629661817455904,-0.11060505223244632
14500,"Boulder, CO",Boulder,75531,10615928,0.0071148749313296,0.2050675294734395,0.22259645962883884,0.22479406717801337,0.24048998157770077,0.03542245210426126
14740,"Bremerton-Silverdale, WA",Bremerton,51799,8814130,0.00587681370708169,0.23446554402455697,0.2347926901774068,0.21657054649607704,0.2340860752500427,-3.794687745142522e-4
14860,"Bridgeport-Stamford-Norwalk, CT",Bridgeport,95804,35076250,0.00273130679590891,0.5490628160304915,0.5366427022916576,0.5212033394988271,0.5005599966981076,-0.04850281933238387
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Buffalo,94144,46785233,0.00201225886809198,0.7010706868473121,0.6681381666075358,0.6163237702225589,0.5600833042560333,-0.14098738259127885
15940,"Canton-Massillon, OH",Canton,39277,16082230,0.00244226080587082,0.5395750496506049,0.4972420202224596,0.4586659973415622,0.42152254942904366,-0.11805250022156122
