cbsa_code,cbsa_title,decade,h,lead_h_change,pct_ba,decade_pop,pct_black,pct_hispanic,pct_asian,pct_fb,pct_elderly,pct_poverty,pct_military,muni_pcap,pct_government,pct_manufacturing,gdp_pcap,pct_largehh,pct_pop_growth,region,units_pcap,clay,silt,sand,mean_ksat,rock_fragments,restrictive_depth,bulk_density
10180,"Abilene, TX",1990,0.406434476937818,-0.02113127890206029,18.592462635190653,147834,5.397827085754427,14.044215021215653,0.948623010188912,3.2161292938028705,6.051863463149645,16.471048513302033,7.316046472470113,0.724414582465545,18.2345506983376,10.02138760167212,25.820090090690304,3.6339414572771345,5.498504949011268,South,0.00184450198771068,29.72448920461026,30.557122028903997,39.71838877946232,10.146203307073806,7.089592186435747,58.9026059939393,1.5054597453403464
10180,"Abilene, TX",2000,0.3853031980357577,-0.030752980668524,19.55296424122368,160288,6.638584667228319,17.152485256950325,1.028425223875942,3.4528378420543544,6.13373272176979,14.587729373113598,5.664885417737129,0.6725695857307636,17.746412330951397,6.088702533514439,33.35242685169779,3.196237708422403,8.424313757322402,South,0.00192442615527767,29.72448920461026,30.557122028903997,39.71838877946232,10.146203307073806,7.089592186435747,58.9026059939393,1.5054597453403464
10180,"Abilene, TX",2010,0.3545502173672337,-0.02606987697773444,21.547457529953565,165590,6.988720257546051,21.24512865199816,1.276837799239949,5.135598456533986,6.48222109263428,16.796296053408184,4.626703410613607,0.660105220772191,17.580209173636764,5.526542974001897,37.188528491973365,3.57521782464714,3.3077959672589343,South,0.00206275658643388,29.72448920461026,30.557122028903997,39.71838877946232,10.146203307073806,7.089592186435747,58.9026059939393,1.5054597453403464
10420,"Akron, OH",1990,0.5986906653722032,-0.04595961983456898,19.269673083147698,658654,9.841158803178333,0.5801619587119339,0.9247614340569504,2.77732578032924,5.080333041858343,12.099658039205876,0.17330651718088066,0.4534561292531351,12.152703927541875,23.982121062396313,33.82323110377402,3.0458176682301676,-0.2835614592590462,Midwest,0.00510452415522703,18.773056811271232,53.8687660133625,26.3962471021564,12.783748000374004,5.340937998706381,67.46474238553455,1.5080765527290725
10420,"Akron, OH",2000,0.5527310455376342,-0.0710554300297016,24.27646819262652,695946,10.940197997007004,0.8452285023598455,1.2723034419247103,2.9889490042592377,6.359358812017958,9.79897531879217,0.08508609770766412,0.4458776454208366,11.815137424665846,20.363412542370902,43.41594605777859,2.7290263531179235,5.6618497724146515,Midwest,0.00337115092350452,18.773056811271232,53.8687660133625,26.3962471021564,12.783748000374004,5.340937998706381,67.46474238553455,1.5080765527290725
10420,"Akron, OH",2010,0.4816756155079326,-0.05752591083589293,28.35401540340639,703056,11.94311717861206,1.5263083048919226,2.008532423208191,3.9403043674943024,6.92320819112628,14.90234514168716,0.10332647160123992,0.43243488487661785,11.97693859215936,16.695126522403957,45.44697337772913,2.698918958747803,1.0216309886111854,Midwest,0.00126190084045722,18.773056811271232,53.8687660133625,26.3962471021564,12.783748000374004,5.340937998706381,67.46474238553455,1.5080765527290725
10580,"Albany-Schenectady-Troy, NY",1990,0.46487707135917394,0.00656808563953353,24.459555755402537,811352,4.660612297592301,1.501402816504683,1.2665499608990387,4.327790838885505,5.992886466372555,8.57128207757582,0.5367417257223874,0.6232493371298121,25.075733249696945,11.776551442603282,42.73405626069205,2.784088894904592,5.064474607700695,Northeast,0.00342559725049693,13.644516496069606,45.046089039409715,40.72641423279273,22.06867734629892,13.178142795244074,60.938149880247906,1.438036108675996
10580,"Albany-Schenectady-Troy, NY",2000,0.4714451569987075,-0.01330299570225229,29.10933540512478,827399,6.156500681095819,2.4658695323142137,1.8965339791130589,4.805206599061601,7.003602240048433,9.289091667378512,0.3892795887348297,0.6175572696977466,23.430865073810367,8.105414408911157,54.327375196433586,2.333412062523089,1.9778098778335425,Northeast,0.00321159698015103,13.644516496069606,45.046089039409715,40.72641423279273,22.06867734629892,13.178142795244074,60.938149880247906,1.438036108675996
10580,"Albany-Schenectady-Troy, NY",2010,0.4581421612964552,-0.02328292837034396,33.573354588159475,871101,7.231175262657399,4.137629261435417,3.0989438576987216,6.646993305698768,6.90156147354591,10.865827430280426,0.44724046275610346,0.5867963080547758,22.56899457674536,6.741804923352099,59.5685521024045,2.403032921382152,5.281853132527354,Northeast,0.00257316637405774,13.644516496069606,45.046089039409715,40.72641423279273,22.06867734629892,13.178142795244074,60.938149880247906,1.438036108675996
10740,"Albuquerque, NM",1990,0.30552332441791963,-0.01529539345765212,24.57590910529481,602588,2.2001414710318077,37.08726493787304,1.2188530169364835,4.849887223564269,4.063121438199848,15.113104987063544,1.8660815937704345,0.19932552040571289,20.30468460751076,10.225482580635797,37.01925715946686,3.943823267003715,21.61775420453422,West,0.00716595123904036,19.84845226007756,29.311605404404094,50.55719084261897,24.45628679816291,10.129440857537016,38.6221100460931,1.440108668334027
10740,"Albuquerque, NM",2000,0.2902279309602675,-0.02741010219369816,28.079514478218385,732220,2.202702943470078,41.47967036205078,1.5603392864240218,7.797584866147969,5.232652960533078,13.898898354917552,1.1590882615617597,0.16452522720150425,19.08877536108701,8.401554396418804,44.25820401903373,3.888960050097491,21.51254256639694,West,0.00694421941126001,19.84845226007756,29.311605404404094,50.55719084261897,24.45628679816291,10.129440857537016,38.6221100460931,1.440108668334027
